#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_1443	165	304	30	64	65	24	335	38	31	28
SL1344_1444	44	175	22	30	15	20	143	35	5	8
SL1344_1445	73	226	14	28	11	28	259	19	7	25
SL1344_1446	56	69	36	35	34	10	44	23	14	39
SL1344_1447	306	346	131	176	175	70	167	104	98	225
SL1344_1448	127	155	72	123	78	99	118	126	70	86
SL1344_1449	1902	2724	1483	2307	1380	484	2023	1669	1157	1730
SL1344_1450	697	741	381	691	364	274	538	445	396	522
SL1344_1451	262	382	193	280	198	110	303	195	173	185
SL1344_1452	245	220	150	392	190	127	363	180	122	232
SL1344_1453	62	76	54	78	90	30	95	49	28	64
SL1344_1454	103	221	167	150	144	69	207	161	132	114
SL1344_1455	570	616	375	549	434	299	582	395	383	322
SL1344_1456	47	60	31	36	27	8	47	29	23	23
SL1344_1457	1448	1153	867	2067	886	626	1962	1103	570	986
SL1344_1458	26	72	44	41	68	38	77	58	32	65
SL1344_1459	70	83	117	150	140	17	86	127	81	114
SL1344_1460	49	155	101	81	171	0	112	61	40	122
SL1344_1461	31	50	40	29	63	8	40	42	11	45
SL1344_1462	118	213	166	148	215	45	199	183	176	197
SL1344_1463	50	104	82	80	125	9	63	60	52	76
SL1344_1464	39	101	49	30	64	21	42	40	60	62
SL1344_1465	56	153	91	92	137	64	105	123	83	104
SL1344_1466	39	113	83	65	129	13	89	64	62	105
SL1344_1467	85	196	194	113	202	34	108	195	178	201
SL1344_1468	66	178	204	119	205	47	113	191	180	175
SL1344_1469	103	189	178	150	168	42	187	160	92	186
SL1344_1470	686	726	431	572	478	220	717	485	480	422
SL1344_1471	98	242	57	61	183	23	134	93	119	87
SL1344_1472	103	206	83	58	95	16	86	54	64	119
SL1344_1473	67	97	36	51	83	21	93	44	45	85
SL1344_1474	45	29	35	33	24	13	52	10	20	29
SL1344_1475	56	138	69	65	70	43	109	93	48	67
SL1344_1476	86	145	126	150	114	71	135	155	59	112
SL1344_1477	202	393	225	193	250	67	340	198	166	331
SL1344_1478	400	466	281	369	304	137	523	316	210	415
SL1344_1479	221	365	184	311	204	101	318	272	210	242
SL1344_1480	110	129	92	99	93	98	167	120	133	142
SL1344_1481	39	71	23	64	36	28	101	59	33	61
SL1344_1482	158	266	121	207	159	34	351	155	96	167
SL1344_1484	670	864	738	1008	1069	140	725	1410	2120	1481
SL1344_1485	67	75	53	80	46	22	83	33	29	51
SL1344_1486	156	87	75	89	84	27	89	77	52	84
SL1344_1487	320	354	249	305	259	58	329	242	186	250
SL1344_1488	508	1302	199	326	175	115	1133	182	154	188
SL1344_1489	217	770	67	108	63	75	617	43	55	80
SL1344_1490	323	1219	44	161	97	60	937	59	36	96
SL1344_1491	264	960	29	137	47	33	920	33	42	76
SL1344_1492	282	499	168	265	257	128	544	303	472	186
SL1344_1493	222	614	47	101	74	96	575	73	65	56
SL1344_1494	75	206	13	18	18	33	249	28	33	21
SL1344_1495	307	601	70	103	105	130	667	110	93	79
SL1344_1496	1794	2493	1181	1793	1617	642	2124	1486	1727	1136
SL1344_1497	720	1603	406	705	452	334	1458	460	377	594
SL1344_1498	1748	2077	1322	1261	1582	505	1637	1322	1518	758
SL1344_1499	178	226	204	177	257	130	115	134	227	165
SL1344_1502	14	17	15	9	11	17	22	10	9	6
SL1344_1503	35974	40686	37247	23501	42830	17023	18204	48100	67416	31359
SL1344_1504	308	192	255	227	276	65	177	199	240	377
SL1344_1505	536	428	213	296	175	209	351	235	209	222
SL1344_1506	349	378	209	317	198	93	349	200	184	324
SL1344_1507	39	62	11	14	12	10	48	8	7	18
SL1344_1508	209	369	68	100	78	35	228	48	42	79
SL1344_1509	122	320	72	118	81	26	196	62	79	85
SL1344_1510	14	33	3	9	4	6	25	4	4	5
SL1344_1511	22	35	8	12	21	5	24	22	13	20
SL1344_1512	162	229	116	126	130	44	209	128	89	152
SL1344_1513	578	503	304	496	356	222	542	316	307	457
SL1344_1514	1802	2336	1322	1605	1871	644	2443	1711	1664	1602
SL1344_1515	1821	1835	2292	2885	2106	706	1940	1986	1002	2098
SL1344_1516	881	322	266	825	263	148	392	224	111	227
SL1344_1517	1772	910	816	2436	730	550	1433	503	288	803
SL1344_1518	451	1371	169	322	207	83	1241	167	118	233
SL1344_1519	492	1391	164	364	189	164	1364	159	138	114
SL1344_1520	1320	3015	604	856	755	405	2610	733	737	683
SL1344_1521	73	103	49	60	87	45	92	84	38	65
SL1344_1522	39	31	9	32	17	15	38	15	15	12
SL1344_1523	424	369	234	393	266	123	408	303	261	191
SL1344_1524	907	1186	2529	1959	3212	542	432	2214	1483	2389
SL1344_1525	2115	2393	5550	4476	7521	913	828	4112	3375	5499
SL1344_1526	905	810	1855	1686	2564	513	367	1713	1237	1851
SL1344_1528	719	1178	519	576	582	248	941	518	451	551
SL1344_1529	487	810	439	581	581	217	793	516	370	508
SL1344_1530	151	266	154	234	329	70	300	222	183	299
SL1344_1530A	2	3	7	1	3	0	2	2	1	6
SL1344_1531	17	26	28	15	29	2	36	7	8	20
SL1344_1532	51	24	21	49	16	13	60	28	26	41
SL1344_1533	158	178	43	82	159	26	127	63	91	95
SL1344_1534	1066	1204	939	1065	796	593	1058	813	820	877
SL1344_1535	1538	1828	1023	1697	1348	260	1553	1053	1287	1012
SL1344_1536	305	296	201	305	238	85	269	215	158	300
SL1344_1537	1235	2622	1276	1688	1518	621	2199	1566	1611	1511
SL1344_1538	593	970	450	539	533	234	916	515	414	519
SL1344_1539	425	498	244	412	413	202	506	351	369	291
SL1344_1540	55	188	41	55	78	19	126	47	53	66
SL1344_1541	194	238	111	180	142	120	189	177	184	75
SL1344_1542	38	16	13	28	23	4	22	4	15	13
SL1344_1543	17	23	7	12	9	0	13	5	6	3
SL1344_1544	84	57	27	37	48	13	55	35	19	47
SL1344_1545	11	12	6	24	22	12	17	21	8	14
SL1344_1546	16	15	12	12	15	4	18	6	3	6
SL1344_1547	16	51	9	16	29	19	36	26	9	24
SL1344_1548	87	90	39	69	67	36	80	61	46	69
SL1344_1549	32	46	12	19	37	20	35	21	25	23
SL1344_1550	270	352	168	218	132	98	317	129	90	177
SL1344_1551	126	177	73	81	62	47	188	84	48	78
SL1344_1552	1109	2004	925	1171	1130	649	1660	1038	961	1050
SL1344_1553	225	370	113	163	159	59	217	129	138	160
SL1344_1554	281	755	110	105	180	45	243	127	177	188
SL1344_1555	384	801	269	134	501	50	213	270	358	624
SL1344_1556	475	687	2631	399	3562	170	123	1383	1248	1958
SL1344_1557	1145	1552	930	756	656	685	947	687	909	426
SL1344_1558	821	1027	686	640	650	339	772	631	789	632
SL1344_1559	103	60	51	53	92	30	90	52	48	103
SL1344_1560	23	24	11	3	7	7	9	9	13	7
SL1344_1561	25	20	17	31	18	3	41	21	21	47
SL1344_1562	93	75	58	109	73	56	124	53	73	95
SL1344_1563	100	208	30	68	73	17	182	68	52	103
SL1344_1564	15	30	12	25	13	6	21	8	8	22
SL1344_1565	10	15	10	7	3	2	30	13	8	12
SL1344_1566	7	2	2	14	4	6	6	7	3	10
SL1344_1567	61	53	37	62	41	15	84	33	18	73
SL1344_1568	2041	2387	1354	1719	1778	615	2141	1446	1050	1869
SL1344_1569	339	430	261	344	295	175	502	269	257	345
SL1344_1570	267	265	190	240	193	122	267	158	170	182
SL1344_1571	4283	5292	3343	4082	3297	1678	4646	3365	3285	3025
SL1344_1572	145	322	207	143	189	62	172	143	118	187
SL1344_1573	232	234	122	135	142	55	207	96	71	146
SL1344_1574	439	429	254	381	362	99	422	286	339	285
SL1344_1575	193	196	127	230	168	75	268	132	181	143
SL1344_1576	611	691	426	580	439	185	641	503	392	523
SL1344_1577	1199	3340	1675	1242	1568	476	1888	2316	2277	1349
SL1344_1578	713	1227	404	523	420	336	1063	544	541	271
SL1344_1580	38	30	23	34	11	10	35	16	20	20
SL1344_1581	966	1750	845	1029	805	341	1321	689	571	936
SL1344_1582	216	417	182	140	373	46	186	234	264	331
SL1344_1583	153	137	78	128	91	65	197	83	79	116
SL1344_1585	2422	2822	2327	3228	2386	916	3187	2534	2310	2381
SL1344_1586	1299	1190	772	1249	596	390	1096	750	777	829
SL1344_1587	1103	1710	643	884	728	455	1312	562	561	642
SL1344_1588	440	640	317	436	521	155	603	344	349	352
SL1344_1589	429	591	336	417	307	261	625	414	254	325
SL1344_1590	556	679	276	369	284	154	573	275	319	369
SL1344_1591	6576	8369	6008	7662	6435	1225	8606	5951	6016	8382
SL1344_1592	2013	1552	920	1483	1039	500	1467	947	990	1324
SL1344_1593	458	472	260	384	362	217	471	337	432	334
SL1344_1594	266	375	240	332	292	97	545	277	264	371
SL1344_1595	189	265	142	141	131	74	203	178	127	150
SL1344_1596	49	154	80	83	63	31	123	96	56	83
SL1344_1597	7	8	11	24	9	2	14	9	6	13
SL1344_1598	17	17	5	22	14	3	20	30	12	17
SL1344_1599	30	49	16	32	27	14	48	12	23	29
SL1344_1600	113	59	54	93	248	106	56	93	113	56
SL1344_1602	592	1100	589	651	879	217	1396	692	456	932
SL1344_1603	456	572	284	391	334	153	515	379	369	182
SL1344_1604	91	121	58	100	68	45	99	82	59	67
SL1344_1605	209	474	228	251	288	114	382	279	214	192
SL1344_1606	259	434	166	274	272	87	581	263	177	259
SL1344_1607	107	135	73	83	78	25	114	58	48	94
SL1344_1608	20	50	26	16	24	5	40	7	15	25
SL1344_1609	1368	2257	1195	1384	1422	566	1890	1260	1360	1258
SL1344_1610	54	61	30	39	29	3	60	25	24	42
SL1344_1611	451	514	255	360	263	141	521	286	264	253
SL1344_1612	2604	2634	1792	2818	2189	753	2472	1977	2113	2410
SL1344_1613	1368	1678	971	1133	1024	544	1338	933	1043	1150
SL1344_1614	297	581	326	200	307	168	312	338	116	246
SL1344_1615	207	499	244	207	291	177	308	255	185	262
SL1344_1616	344	545	212	352	308	241	447	376	394	270
SL1344_1617	152	515	238	249	168	62	310	223	160	299
SL1344_1618	442	1292	458	717	472	213	941	660	476	676
SL1344_1619	185	380	184	304	161	106	339	242	222	248
SL1344_1620	1681	3236	1573	2288	1564	984	2443	1929	1551	1547
SL1344_1621	98	193	115	111	100	56	134	104	63	95
SL1344_1622	894	966	648	925	670	351	926	612	732	601
SL1344_1623	191	187	114	186	128	61	150	105	88	149
SL1344_1624	368	388	288	382	248	155	391	264	232	225
SL1344_1625	708	747	533	636	459	163	684	455	467	546
SL1344_1626	321	359	236	356	260	115	313	181	196	271
SL1344_1627	297	290	749	605	319	47	220	532	260	483
SL1344_1628	242	335	155	165	188	70	225	235	243	141
SL1344_1629	0	0	0	2	0	0	1	1	1	1
SL1344_1630	263	273	127	214	167	30	169	173	244	110
SL1344_1631	4813	6915	4593	6660	5794	3055	6327	5771	5969	5410
SL1344_1632	710	483	344	781	413	109	696	331	229	584
SL1344_1633	5398	6495	4110	5818	4178	1836	5849	3652	3609	4071
SL1344_1634	599	865	324	469	342	105	791	246	186	424
SL1344_1635	126	196	123	143	118	37	199	107	69	174
SL1344_1636	813	1103	686	904	715	396	1134	607	586	726
SL1344_1637	1711	3518	80	241	71	709	4276	67	129	60
SL1344_1638	520	659	446	530	403	418	639	605	728	298
SL1344_1639	719	983	744	879	669	390	1035	802	771	690
SL1344_1640	2260	2674	1439	1607	1383	775	2089	1363	1320	1355
SL1344_1641	678	778	485	675	526	311	942	529	489	613
SL1344_1642	330	567	201	251	192	56	342	184	180	278
SL1344_1643	945	1241	934	1179	920	395	1268	992	811	938
SL1344_1644	1365	2310	565	723	810	322	1009	648	739	683
SL1344_1644A	914	848	1062	1378	1096	302	769	1035	821	1044
SL1344_1645	897	977	512	761	511	477	938	578	507	579
SL1344_1646	6837	8524	4544	5540	4172	2932	5173	3138	2863	3955
SL1344_1647	1597	1242	773	1976	1935	566	2122	1738	2713	683
SL1344_1648	1124	1372	785	887	998	608	1049	763	856	556
SL1344_1649	1773	4034	1275	1674	1945	670	3674	1559	1782	1527
SL1344_1650	501	1081	361	472	448	231	1083	418	532	418
SL1344_1651	3879	2950	2542	3606	2147	1559	3282	3105	3676	2215
SL1344_1652	421	599	401	521	383	232	589	388	320	370
SL1344_1653	1790	2385	1578	2189	1629	570	2350	1535	1617	1773
SL1344_1654	90	52	64	102	40	40	71	64	34	72
SL1344_1655	98	110	45	126	80	32	89	42	49	55
SL1344_1656	162	196	113	157	131	56	169	115	72	125
SL1344_1657	458	613	351	429	376	133	415	268	333	406
SL1344_1658	114	89	72	76	57	27	105	38	36	68
SL1344_1659	21	49	5	4	2	0	54	4	0	7
SL1344_1660	47	117	8	8	7	4	180	5	4	10
SL1344_1661	46	117	1	11	5	2	152	5	2	3
SL1344_1662	304	525	74	139	61	54	540	99	73	77
SL1344_1663	187	426	164	239	252	75	215	1237	2473	207
SL1344_1664	33	30	20	15	12	14	66	25	16	29
SL1344_1665	2203	3362	2235	3067	2321	717	3689	2300	1965	3022
SL1344_1666	525	719	457	575	491	258	702	505	413	619
SL1344_1667	456	546	400	529	403	172	591	487	382	421
SL1344_1668	1905	1658	1287	2623	1160	639	2109	784	379	1349
SL1344_1669	242	245	142	155	169	52	128	102	132	131
SL1344_1670	246	334	190	270	234	70	352	223	142	229
SL1344_1671	2653	3247	2333	3465	2697	518	3322	2231	2494	2887
SL1344_1672	112	119	58	74	47	25	95	66	56	66
SL1344_1673	762	921	472	527	595	293	542	458	466	375
SL1344_1674	545	1011	448	488	519	160	614	363	435	505
SL1344_1675	518	828	320	393	575	208	419	314	314	427
SL1344_1676	144	280	103	132	182	46	164	104	89	159
SL1344_1677	896	1512	809	733	1069	311	1032	718	618	936
SL1344_1678	3	7	3	6	5	1	3	1	3	4
SL1344_1679	162	178	160	187	136	54	201	166	159	151
SL1344_1680	2471	4494	5397	5028	3783	1147	4882	3171	1232	2748
SL1344_1681	1048	1067	769	1112	784	401	1181	989	1049	703
SL1344_1682	62093	83718	63947	73102	62957	19241	76823	68235	69563	60996
SL1344_1683	2939	5143	1294	1912	1345	1114	5358	1690	1568	1459
SL1344_1684	2241	3193	1456	2072	1824	639	2375	1408	1508	1547
SL1344_1685	1916	3238	1457	1796	1594	476	2224	1301	1207	1659
SL1344_1686	1097	978	795	1222	973	286	988	851	825	717
SL1344_1687	995	1052	882	1122	992	307	1112	826	696	894
SL1344_1688	367	670	236	276	285	138	472	230	226	255
SL1344_1689	9	12	8	3	8	2	11	35	45	6
SL1344_1690	24	40	26	20	28	10	23	131	306	10
SL1344_1691	53	45	28	66	48	24	77	135	230	34
SL1344_1692	62	83	41	62	43	39	62	118	212	22
SL1344_1693	15	39	8	25	16	10	22	67	132	4
SL1344_1694	985	809	550	869	512	192	928	470	403	734
SL1344_1695	276	356	209	288	188	115	390	218	134	237
SL1344_1696	841	1462	355	469	482	209	1291	293	242	412
SL1344_1697	234	292	227	244	228	146	333	187	201	154
SL1344_1698	171	321	31	54	40	40	354	36	29	33
SL1344_1699	331	519	196	375	242	110	504	216	153	348
SL1344_1700	2271	3211	2114	3274	2304	1318	3196	2434	2420	2531
SL1344_1701	2635	2221	1616	2823	1773	866	2535	1708	1719	1679
SL1344_1702	701	608	477	949	632	192	753	516	491	582
SL1344_1703	677	447	315	731	408	304	439	374	428	298
SL1344_1704	2496	2472	1800	2858	1631	1030	2542	1777	1947	1735
SL1344_1705	3279	2608	2122	3621	2226	886	3013	2184	2273	2529
SL1344_1706	341	531	232	361	264	201	515	255	241	323
SL1344_1707	1321	1396	971	1386	1047	884	1489	1134	1268	996
SL1344_1708	3958	4762	3831	5093	3616	2069	5656	4405	4433	4420
SL1344_1709	394	365	275	374	333	158	372	324	338	400
SL1344_1710	153	188	41	15	140	18	40	93	198	57
SL1344_1711	751	1056	786	1100	794	288	1272	786	709	725
SL1344_1712	2785	4081	2584	3344	2611	1748	3710	2829	2923	2678
SL1344_1713	514	440	298	492	404	134	521	400	435	473
SL1344_1714	2	5	0	3	2	2	2	3	2	3
SL1344_1715	45	51	23	33	10	14	26	27	13	20
SL1344_1716	9	4	4	5	8	4	8	8	2	4
SL1344_1717	7	6	0	4	10	5	7	6	0	11
SL1344_1718	7	5	1	3	6	0	2	4	1	5
SL1344_1719	20	6	12	6	12	1	12	1	8	7
SL1344_1720	7	12	15	25	14	8	28	11	2	6
SL1344_1721	55	31	35	28	36	2	35	19	23	51
SL1344_1722	3	7	2	3	0	4	5	0	1	1
SL1344_1723	2321	3538	1189	1245	2545	590	1479	2102	3888	2092
SL1344_1724	886	1229	292	297	376	75	754	250	368	444
SL1344_1725	34	69	7	13	14	14	67	12	15	15
SL1344_1726	1258	948	3838	2326	4632	401	469	3022	1666	4219
SL1344_1727	444	728	327	393	327	238	651	422	369	383
SL1344_1728	140	212	87	137	94	47	187	87	86	126
SL1344_1729	1129	1207	1247	906	1240	368	1079	983	769	1218
SL1344_1730	633	1880	485	215	928	125	371	467	617	881
SL1344_1731	546	1353	423	256	906	138	348	338	554	764
SL1344_1732	156	519	40	81	66	45	461	40	39	43
SL1344_1733	2812	2749	1798	2803	2449	788	2530	2010	2471	1828
SL1344_1734	389	716	371	450	556	286	708	495	393	481
SL1344_1735	388	476	280	436	341	205	415	293	285	366
SL1344_1736	255	280	175	351	194	84	304	155	157	187
SL1344_1737	2268	4465	1939	1716	2018	836	3417	2068	1764	833
SL1344_1738	186	136	79	142	65	31	144	62	62	125
SL1344_1739	1034	818	439	804	612	494	917	542	520	469
SL1344_1740	533	727	335	489	356	335	720	414	406	347
SL1344_1741	383	590	299	374	392	108	614	322	290	321
SL1344_1742	2268	3123	1802	2330	2068	893	2752	1742	1861	1853
SL1344_1743	1745	3011	1549	2011	1960	655	2549	1614	1619	1973
SL1344_1744	637	1022	516	661	584	177	832	572	447	806
SL1344_1745	814	867	548	845	459	268	624	513	511	629
SL1344_1746	213	282	174	226	143	18	175	109	107	320
SL1344_1747	1554	1078	883	1235	773	686	836	772	977	874
SL1344_1748	1032	731	429	581	267	421	493	422	385	328
SL1344_1749	5176	4769	3295	5002	3138	1089	4394	3305	3715	3216
SL1344_1750	1886	2062	1320	1992	1464	574	1799	1256	1274	1494
SL1344_1751	461	489	276	407	301	163	453	310	267	356
SL1344_1752	397	310	198	428	341	127	395	333	531	132
SL1344_1753	425	645	308	446	348	116	516	268	217	349
SL1344_1754	104	169	43	89	64	25	177	66	63	90
SL1344_1755	3559	6126	3629	4292	4326	1320	5406	4207	4556	4532
SL1344_1756	215	176	89	92	69	22	129	67	56	132
SL1344_1757	329	471	278	266	277	135	248	167	118	226
SL1344_1759	2110	5909	2294	808	3932	605	1288	1058	968	2665
SL1344_1760	845	2347	696	363	1381	375	448	434	485	1019
SL1344_1761	1977	5752	1465	800	3611	626	1185	1058	1380	1923
SL1344_1762	395	512	237	133	366	43	172	75	55	395
SL1344_1763	453	631	334	221	338	225	394	332	283	395
SL1344_1764	1172	1016	772	1240	780	315	1204	727	735	771
SL1344_1765	1235	1009	459	812	502	215	713	339	337	732
SL1344_1766	2161	2951	1380	1898	1558	1445	2697	1845	2115	1967
SL1344_1767	5528	8082	4056	5141	4149	1359	7420	4583	4589	6415
SL1344_1768	4515	7237	3729	3580	2830	1193	6401	3217	2860	4634
SL1344_1769	455	609	308	304	278	214	501	288	243	255
SL1344_1770	67	98	7	17	8	22	114	14	23	4
SL1344_1771	3093	5445	3633	3773	3885	2199	5860	4368	3924	3421
SL1344_1772	62	54	25	72	45	23	57	32	26	34
SL1344_1773	1807	2437	1629	1914	1557	994	2169	1757	1160	1410
SL1344_1774	14446	17304	10542	16316	11169	5024	15617	10112	11173	9854
SL1344_1775	9026	11456	8723	10393	7735	2760	10636	7480	7348	7728
SL1344_1776	3987	6269	3399	4886	4311	872	6581	2976	2775	3590
SL1344_1777	578	770	407	579	434	114	798	340	357	463
SL1344_1778	1333	2023	799	1202	764	465	1810	782	883	931
SL1344_1779	1094	1050	776	1183	755	299	1042	787	779	856
SL1344_1780	106	127	28	101	63	25	176	45	47	44
SL1344_1781	45	25	4	27	11	4	33	9	0	17
SL1344_1782	43	71	19	32	37	18	65	29	9	29
SL1344_1783	640	796	498	512	643	188	975	523	522	572
SL1344_1784	34	39	101	29	512	13	16	122	97	249
SL1344_1785	43	34	21	47	9	7	42	21	24	22
SL1344_1786	274	347	245	278	283	72	382	220	202	314
SL1344_1787	469	939	330	225	489	207	612	336	312	387
SL1344_1792	4	12	4	3	5	2	2	2	2	0
SL1344_1793	38	81	45	35	47	22	101	53	30	94
SL1344_1794	1	6	2	1	4	0	1	1	1	0
SL1344_1795	107	176	78	108	107	33	213	93	49	136
SL1344_1797	25	48	28	28	50	10	48	19	15	23
SL1344_1799	41	121	31	62	61	8	140	69	50	47
SL1344_1800	24	34	11	15	8	6	29	5	9	16
SL1344_1802	362	214	134	532	126	53	357	118	64	185
SL1344_1803	8	6	7	2	5	4	4	3	0	3
SL1344_1806	75	151	69	70	78	34	115	91	57	65
SL1344_1807	814	1157	586	723	671	320	875	525	486	700
SL1344_1808	1854	2740	1464	1673	1621	681	1908	1271	1073	1719
SL1344_1809	1209	1961	1171	1480	1378	313	1551	1032	914	1546
SL1344_1810	876	1135	806	969	780	251	1189	767	433	771
SL1344_1811	227	315	133	178	150	55	324	116	50	233
SL1344_1812	483	663	317	410	347	121	527	305	270	320
SL1344_1813	1623	2331	837	1664	1006	517	1751	957	879	1016
SL1344_1814	1237	1248	552	900	641	283	870	579	574	564
SL1344_1815	554	553	209	358	244	298	489	212	309	189
SL1344_1816	1415	948	486	1040	840	631	875	1031	1264	362
SL1344_1817	196	202	118	150	127	114	170	120	151	79
SL1344_1818	599	1029	640	733	706	432	858	713	688	533
SL1344_1819	1984	3516	2492	2317	2252	600	2937	2130	1873	2775
SL1344_1820	4610	7320	4600	4992	4937	1783	4983	3909	3904	3932
SL1344_1821	561	737	336	254	556	90	275	312	527	415
SL1344_1822	1280	2506	1431	1327	1994	552	1585	2001	2865	1230
SL1344_1823	1654	1889	1108	1642	1318	711	1587	1194	1187	1115
SL1344_1824	3508	2983	2072	2817	2307	850	2117	1615	1751	1828
SL1344_1825	2026	1843	1216	1537	1180	669	1727	1122	959	1243
SL1344_1826	182	207	116	192	135	87	232	128	131	178
SL1344_1827	213	230	153	242	139	86	250	161	148	206
SL1344_1828	1385	1671	1122	1620	1236	521	1468	1185	1078	1158
SL1344_1829	2558	2946	2025	2822	2378	626	2817	1926	2125	2034
SL1344_1832	30	32	27	28	15	8	48	24	11	7
SL1344_1833	448	604	366	417	400	356	531	374	371	374
SL1344_1834	4997	7471	5069	5280	4302	3867	6731	5144	4602	4472
SL1344_1835	2348	2552	1826	2635	2144	1507	2793	2059	2196	1594
SL1344_1836	5281	6471	4765	6663	5130	3631	6729	5408	5264	4344
SL1344_1837	487	958	523	633	558	134	743	522	443	612
SL1344_1838	82	90	45	63	42	20	104	30	19	70
SL1344_1839	101	119	100	85	84	45	100	72	76	109
SL1344_1840	624	806	467	652	493	340	860	545	534	515
SL1344_1841	1199	1541	938	1325	997	572	1473	1040	969	1024
SL1344_1842	6960	1777	476	1162	684	542	1283	813	993	435
SL1344_1843	243	308	233	291	197	101	327	206	175	220
SL1344_1844	2621	3303	2316	3052	2166	2007	3342	2513	2555	2138
SL1344_1845	152	95	98	129	63	26	102	55	63	105
SL1344_1846	1059	594	826	1245	946	229	420	690	578	918
SL1344_1847	92	59	59	95	121	39	19	80	82	124
SL1344_1848	2110	1760	3189	3855	4477	920	633	3115	3023	3709
SL1344_1849	947	1102	2181	2641	3343	741	390	2118	1940	2535
SL1344_1850	1575	1669	8310	4715	8735	1046	722	6881	5400	7251
SL1344_1851	2066	2600	13775	7975	16762	846	1106	11055	9753	12726
SL1344_1852	2294	2737	14772	7857	16543	983	992	11475	10014	13026
SL1344_1853	330	315	1483	687	1928	210	110	1146	514	2058
SL1344_1854	1336	925	3985	2142	4869	869	413	4045	2380	5079
SL1344_1855	498	320	1515	737	2018	480	147	1390	668	1617
SL1344_1856	5602	4980	22607	8856	23439	2920	1841	15209	6806	19105
SL1344_1857	2203	1802	8179	3362	8691	1259	770	6419	3448	5850
SL1344_1858	2917	2110	9871	4013	10645	1224	899	7126	4176	10908
SL1344_1859	1289	1020	3673	1999	5172	358	651	3100	2036	5731
SL1344_1860	1707	922	2050	1296	2032	419	746	1674	870	2745
SL1344_1861	232	96	88	171	157	22	110	85	57	170
SL1344_1862	546	1859	87	228	114	152	1553	78	83	141
SL1344_1863	644	2139	68	172	101	192	1535	83	88	108
SL1344_1864	85	100	43	73	47	25	83	42	43	68
SL1344_1865	72	218	30	62	50	28	213	44	35	44
SL1344_1866	50	67	28	27	44	29	61	35	35	52
SL1344_1867	486	281	1039	1219	2110	191	196	1149	1203	1028
SL1344_1868	476	1191	850	529	1054	427	795	1794	2353	1045
SL1344_1869	14	29	7	12	14	8	15	14	27	11
SL1344_1870	633	473	317	582	395	277	486	410	487	417
SL1344_1871	1679	1367	771	1019	878	469	1035	774	784	961
SL1344_1872	1721	2559	1476	1296	1367	662	1841	1526	1127	1576
SL1344_1873	1074	1351	854	892	1084	267	1100	706	552	1156
SL1344_1874	184	245	153	178	179	89	223	174	129	302
SL1344_1875	495	616	350	399	418	143	443	341	345	372
SL1344_1876	2215	2685	1483	1825	1572	778	2060	1374	1504	1618
SL1344_1877	2219	1936	1234	1518	1340	677	2038	1303	1423	1122
SL1344_1878	2997	3675	2763	3863	2642	804	4306	3068	3465	2273
SL1344_1879	929	1017	1171	865	1462	237	661	1103	791	1364
SL1344_1880	241	287	187	214	221	123	227	158	185	189
SL1344_1881	458	675	462	542	531	210	533	339	354	531
SL1344_1882	551	729	437	567	595	292	623	394	433	437
SL1344_1883	3116	4349	4570	3458	4744	1317	2448	3612	3104	3417
SL1344_1884	2323	2632	5647	4903	7662	1712	930	5090	4892	5784
SL1344_1885	4890	5861	12229	8943	14001	2477	1800	9019	7519	10747
SL1344_1886	24	18	75	49	38	1	8	43	21	126
SL1344_1887	1227	1588	5029	3527	5316	789	628	4391	4259	2912
SL1344_1888	22977	27576	183879	92007	10329	14065	11709	164885	102959	13085
