#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_1420	159	126	71	104	65	34	127	83	51	116
SL1344_1421	354	1263	44	98	71	90	1024	39	45	83
SL1344_1422	99	357	10	14	10	15	181	7	4	6
SL1344_1423	65	417	8	6	5	24	243	6	4	5
SL1344_1424	72	146	4	4	3	23	182	1	3	13
SL1344_1425	702	954	570	848	721	343	1085	650	607	742
SL1344_1426	391	468	340	534	452	115	744	414	366	539
SL1344_1427	13	13	8	13	19	0	14	16	24	10
SL1344_1428	122	76	58	88	92	22	97	64	120	59
SL1344_1429	94	90	45	67	53	37	112	52	38	49
SL1344_1430	164	195	104	144	118	69	229	112	132	52
SL1344_1431	426	740	434	351	359	167	539	345	403	285
SL1344_1432	410	622	350	484	399	315	636	523	465	479
SL1344_1433	1576	3147	1820	1939	1854	874	2704	2063	1626	2019
SL1344_1434	7	19	14	13	6	7	18	11	1	8
SL1344_1435	148	335	123	68	269	18	92	135	206	178
SL1344_1436	65	133	59	35	88	17	32	58	53	64
SL1344_1438	212	243	103	140	123	103	197	118	115	121
SL1344_1439	54	39	22	58	24	22	57	17	44	37
SL1344_1440	455	613	348	476	434	150	485	319	323	375
SL1344_1441	782	1008	466	697	602	189	818	590	534	538
SL1344_1442	403	786	379	451	454	210	618	420	296	461
